Sample_name,Tree_host,Tree_log,Year,Year_since_decay_start,Site,Decay_status
2010_BA1,paper_birch,birch_01,2010,0,Ground_bark,undecayed
2010_BA2,paper_birch,birch_02,2010,0,Ground_bark,undecayed
2010_BA3,paper_birch,birch_03,2010,0,Ground_bark,undecayed
2010_BA4,paper_birch,birch_04,2010,0,Ground_bark,undecayed
2010_BA5,paper_birch,birch_05,2010,0,Ground_bark,undecayed
2010_BA6,paper_birch,birch_06,2010,0,Ground_bark,undecayed
2010_BA7,paper_birch,birch_07,2010,0,Ground_bark,undecayed
2010_BA8,paper_birch,birch_08,2010,0,Ground_bark,undecayed
2010_BA9,paper_birch,birch_09,2010,0,Ground_bark,undecayed
2010_BA10,paper_birch,birch_10,2010,0,Ground_bark,undecayed
2010_BB1,paper_birch,birch_01,2010,0,Ground_nobark,undecayed
2010_BB2,paper_birch,birch_02,2010,0,Ground_nobark,undecayed
2010_BB3,paper_birch,birch_03,2010,0,Ground_nobark,undecayed
2010_BB4,paper_birch,birch_04,2010,0,Ground_nobark,undecayed
2010_BB5,paper_birch,birch_05,2010,0,Ground_nobark,undecayed
2010_BB6,paper_birch,birch_06,2010,0,Ground_nobark,undecayed
2010_BB7,paper_birch,birch_07,2010,0,Ground_nobark,undecayed
2010_BB8,paper_birch,birch_08,2010,0,Ground_nobark,undecayed
2010_BB9,paper_birch,birch_09,2010,0,Ground_nobark,undecayed
2010_BB10,paper_birch,birch_10,2010,0,Ground_nobark,undecayed
2010_BC1,paper_birch,birch_01,2010,0,Hanging_on_pine,undecayed
2010_BC2,paper_birch,birch_02,2010,0,Hanging_on_pine,undecayed
2010_BC3,paper_birch,birch_03,2010,0,Hanging_on_pine,undecayed
2010_BC4,paper_birch,birch_04,2010,0,Hanging_on_pine,undecayed
2010_BC5,paper_birch,birch_05,2010,0,Hanging_on_pine,undecayed
2010_BC6,paper_birch,birch_06,2010,0,Hanging_on_pine,undecayed
2010_BC7,paper_birch,birch_07,2010,0,Hanging_on_pine,undecayed
2010_BC8,paper_birch,birch_08,2010,0,Hanging_on_pine,undecayed
2010_BC9,paper_birch,birch_09,2010,0,Hanging_on_pine,undecayed
2010_BC10,paper_birch,birch_10,2010,0,Hanging_on_pine,undecayed
2010_BD1,paper_birch,birch_01,2010,0,Hanging_on_birch,undecayed
2010_BD2,paper_birch,birch_02,2010,0,Hanging_on_birch,undecayed
2010_BD3,paper_birch,birch_03,2010,0,Hanging_on_birch,undecayed
2010_BD4,paper_birch,birch_04,2010,0,Hanging_on_birch,undecayed
2010_BD5,paper_birch,birch_05,2010,0,Hanging_on_birch,undecayed
2010_BD6,paper_birch,birch_06,2010,0,Hanging_on_birch,undecayed
2010_BD7,paper_birch,birch_07,2010,0,Hanging_on_birch,undecayed
2010_BD8,paper_birch,birch_08,2010,0,Hanging_on_birch,undecayed
2010_BD9,paper_birch,birch_09,2010,0,Hanging_on_birch,undecayed
2010_BD10,paper_birch,birch_10,2010,0,Hanging_on_birch,undecayed
2010_PA1,red_pine,pine_01,2010,0,Ground_bark,undecayed
2010_PA2,red_pine,pine_02,2010,0,Ground_bark,undecayed
2010_PA3,red_pine,pine_03,2010,0,Ground_bark,undecayed
2010_PA4,red_pine,pine_04,2010,0,Ground_bark,undecayed
2010_PA5,red_pine,pine_05,2010,0,Ground_bark,undecayed
2010_PA6,red_pine,pine_06,2010,0,Ground_bark,undecayed
2010_PA7,red_pine,pine_07,2010,0,Ground_bark,undecayed
2010_PA8,red_pine,pine_08,2010,0,Ground_bark,undecayed
2010_PA9,red_pine,pine_09,2010,0,Ground_bark,undecayed
2010_PA10,red_pine,pine_10,2010,0,Ground_bark,undecayed
2010_PB1,red_pine,pine_01,2010,0,Ground_nobark,undecayed
2010_PB2,red_pine,pine_02,2010,0,Ground_nobark,undecayed
2010_PB3,red_pine,pine_03,2010,0,Ground_nobark,undecayed
2010_PB4,red_pine,pine_04,2010,0,Ground_nobark,undecayed
2010_PB5,red_pine,pine_05,2010,0,Ground_nobark,undecayed
2010_PB6,red_pine,pine_06,2010,0,Ground_nobark,undecayed
2010_PB7,red_pine,pine_07,2010,0,Ground_nobark,undecayed
2010_PB8,red_pine,pine_08,2010,0,Ground_nobark,undecayed
2010_PB9,red_pine,pine_09,2010,0,Ground_nobark,undecayed
2010_PB10,red_pine,pine_10,2010,0,Ground_nobark,undecayed
2010_PC1,red_pine,pine_01,2010,0,Hanging_on_pine,undecayed
2010_PC2,red_pine,pine_02,2010,0,Hanging_on_pine,undecayed
2010_PC3,red_pine,pine_03,2010,0,Hanging_on_pine,undecayed
2010_PC4,red_pine,pine_04,2010,0,Hanging_on_pine,undecayed
2010_PC5,red_pine,pine_05,2010,0,Hanging_on_pine,undecayed
2010_PC6,red_pine,pine_06,2010,0,Hanging_on_pine,undecayed
2010_PC7,red_pine,pine_07,2010,0,Hanging_on_pine,undecayed
2010_PC8,red_pine,pine_08,2010,0,Hanging_on_pine,undecayed
2010_PC9,red_pine,pine_09,2010,0,Hanging_on_pine,undecayed
2010_PC10,red_pine,pine_10,2010,0,Hanging_on_pine,undecayed
2010_PD1,red_pine,pine_01,2010,0,Hanging_on_birch,undecayed
2010_PD2,red_pine,pine_02,2010,0,Hanging_on_birch,undecayed
2010_PD3,red_pine,pine_03,2010,0,Hanging_on_birch,undecayed
2010_PD4,red_pine,pine_04,2010,0,Hanging_on_birch,undecayed
2010_PD5,red_pine,pine_05,2010,0,Hanging_on_birch,undecayed
2010_PD6,red_pine,pine_06,2010,0,Hanging_on_birch,undecayed
2010_PD7,red_pine,pine_07,2010,0,Hanging_on_birch,undecayed
2010_PD8,red_pine,pine_08,2010,0,Hanging_on_birch,undecayed
2010_PD9,red_pine,pine_09,2010,0,Hanging_on_birch,undecayed
2010_PD10,red_pine,pine_10,2010,0,Hanging_on_birch,undecayed
2011_BA1,paper_birch,birch_01,2011,1,Ground_bark,decayed
2011_BA2,paper_birch,birch_02,2011,1,Ground_bark,decayed
2011_BA3,paper_birch,birch_03,2011,1,Ground_bark,decayed
2011_BA4,paper_birch,birch_04,2011,1,Ground_bark,decayed
2011_BA5,paper_birch,birch_05,2011,1,Ground_bark,decayed
2011_BA6,paper_birch,birch_06,2011,1,Ground_bark,decayed
2011_BA7,paper_birch,birch_07,2011,1,Ground_bark,decayed
2011_BA8,paper_birch,birch_08,2011,1,Ground_bark,decayed
2011_BA9,paper_birch,birch_09,2011,1,Ground_bark,decayed
2011_BA10,paper_birch,birch_10,2011,1,Ground_bark,decayed
2011_BB1,paper_birch,birch_01,2011,1,Ground_nobark,decayed
2011_BB2,paper_birch,birch_02,2011,1,Ground_nobark,decayed
2011_BB3,paper_birch,birch_03,2011,1,Ground_nobark,decayed
2011_BB4,paper_birch,birch_04,2011,1,Ground_nobark,decayed
2011_BB5,paper_birch,birch_05,2011,1,Ground_nobark,decayed
2011_BB6,paper_birch,birch_06,2011,1,Ground_nobark,decayed
2011_BB7,paper_birch,birch_07,2011,1,Ground_nobark,decayed
2011_BB8,paper_birch,birch_08,2011,1,Ground_nobark,decayed
2011_BB9,paper_birch,birch_09,2011,1,Ground_nobark,decayed
2011_BB10,paper_birch,birch_10,2011,1,Ground_nobark,decayed
2011_BC1,paper_birch,birch_01,2011,1,Hanging_on_pine,decayed
2011_BC2,paper_birch,birch_02,2011,1,Hanging_on_pine,decayed
